Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
A2,2,7.875,21.6,18.4,1.65,Capryol_90,Tween_80,Propylene_Glycol,blank,129.3,0.294,-2.263333333,0,,
A3,2,8.25,11,29,0.45,Maisine_Oil,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
A4,2,7.5,21,19,2.85,Capryol_90,Tween_80,Transcutol_HP,blank,66.08,0.579,-2.543333333,0,,
A5,2,7.875,21.6,18.4,2.25,Capryol_90,Tween_80,Propylene_Glycol,blank,117.7666667,0.354,-3.32,0,,
A1,3,7.875,21.6,18.4,1.515,Capryol_90,Tween_80,Propylene_Glycol,blank,148.0666667,0.292,-2.49,0,,
A2,3,7.875,21.6,18.4,1.65,Capryol_90,Tween_80,Propylene_Glycol,blank,134.8666667,0.29,-2.446666667,0,,
A3,3,8.25,11,29,0.45,Maisine_Oil,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
A4,3,7.5,21,19,2.85,Capryol_90,Tween_80,Transcutol_HP,blank,93.26666667,0.603,-2.28,0,,
A5,3,7.875,21.6,18.4,2.25,Capryol_90,Tween_80,Propylene_Glycol,blank,122.1666667,0.32,-3.266666667,0,,
B1,1,8.25,19,21,2.85,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
B2,1,7.95,23,17,1.35,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
B3,1,8.025,11,29,2.55,Capryol_90,Tween_80,Tween_80,blank,28.66333333,0.733,-2.383333333,0,,
B4,1,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,blank,12.9,0.263333333,-3.293333333,0,,
B5,1,8.25,11,29,0.45,Capryol_90,PEG_400,Transcutol_HP,blank,10000,1,100,1,,
B1,2,8.25,19,21,2.85,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
B2,2,7.95,23,17,1.35,Oleic_Acid,Tween_80,Transcutol_HP,blank,10000,1,100,1,,
B3,2,8.025,11,29,2.55,Capryol_90,Tween_80,Tween_80,blank,17.35666667,0.318,-2.823333333,0,,
B4,2,8.25,17,23,1.65,Capryol_90,Tween_20,Ethanol,blank,10.96333333,0.119,-3.2,0,,
B5,2,8.25,11,29,0.45,Capryol_90,PEG_400,Transcutol_HP,blank,10000,1,100,1,,
