Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,size_score (w=1),pdi_score (w=1),zeta_score (w=1),sep_score (w=10),objective
DoE4,2,Oleic_Acid,Tween_80,PEG_400,A190,7.5,30.0,10.0,1.5,314.4666667,0.274,-5.686666667,0,0.23829629633333335,0.0685,0.0,0.0,0.3067962963333334
Misc44,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,3.0,95.19666667,0.310666667,-1.753333333,0,0.0,0.310666667,0.0,0.0,0.310666667
Misc42,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.0,97.37666667,0.311333333,-2.653333333,0,0.0,0.311333333,0.0,0.0,0.311333333
B3,2,Capryol_90,Tween_80,Tween_80,blank,8.025,11.0,29.0,2.55,17.35666667,0.318,-2.823333333,0,0.0,0.318,0.0,0.0,0.318
E2,2,Capryol_90,Tween_20,Transcutol_HP,blank,8.325,18.5,21.5,2.025,14.98,0.321,-6.57,0,0.0,0.321,0.0,0.0,0.321
E5,2,Capmul_MCM,Tween_80,Transcutol_HP,blank,7.875,16.5,23.5,2.925,115.53,0.307,-2.89,0,0.017255555555555555,0.307,0.0,0.0,0.3242555555555556
B4_A,3,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.65,26.21666667,0.338333333,-4.19,0,0.0,0.338333333,0.0,0.0,0.338333333
Misc18,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.5,121.6333333,0.316666667,-1.86,0,0.024037037000000004,0.316666667,0.0,0.0,0.340703704
Misc18,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.5,133.1,0.307,-2.206666667,0,0.03677777777777777,0.307,0.0,0.0,0.34377777777777774
A1,1,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,1.515,129.3,0.312,-2.513333333,0,0.03255555555555557,0.312,0.0,0.0,0.34455555555555556
A5,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,2.25,122.1666667,0.32,-3.266666667,0,0.02462962966666666,0.32,0.0,0.0,0.34462962966666666
Misc42,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.0,95.23666667,0.345,-2.756666667,0,0.0,0.345,0.0,0.0,0.345
A2,1,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,1.65,104.2,0.346,-2.356666667,0,0.00466666666666667,0.346,0.0,0.0,0.3506666666666666
C4,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.875,20.5,19.5,2.775,96.6,0.364333333,-2.026666667,0,0.0,0.364333333,0.0,0.0,0.364333333
B4_A,2,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.65,20.52333333,0.37,-3.633333333,0,0.0,0.37,0.0,0.0,0.37
Misc15,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.5,103.3666667,0.37,-2.173333333,0,0.0037407407777777734,0.37,0.0,0.0,0.37374074077777775
A5,2,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,2.25,117.7666667,0.354,-3.32,0,0.01974074077777778,0.354,0.0,0.0,0.37374074077777775
Ran6,2,Capryol_90,Tween_80,Ethanol,blank,13.3333333,30.0,10.0,0.0,165.7,0.303333333,-2.366666667,0,0.07299999999999998,0.303333333,0.0,0.0,0.37633333299999994
A5,1,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,2.25,112.2333333,0.373,-2.733333333,0,0.013592592555555554,0.373,0.0,0.0,0.38659259255555556
Misc43,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,2.0,99.43,0.389333333,-2.086666667,0,0.0,0.389333333,0.0,0.0,0.389333333
Misc12,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,0.0,121.2,0.366,-2.613333333,0,0.02355555555555556,0.366,0.0,0.0,0.38955555555555554
Misc15,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.5,104.4,0.398666667,-1.806666667,0,0.004888888888888895,0.398666667,0.0,0.0,0.40355555588888886
C4,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.875,20.5,19.5,2.775,99.81666667,0.404333333,-2.063333333,0,0.0,0.404333333,0.0,0.0,0.404333333
E5,3,Capmul_MCM,Tween_80,Transcutol_HP,blank,7.875,16.5,23.5,2.925,111.33,0.392,-3.35,0,0.012588888888888887,0.392,0.0,0.0,0.4045888888888889
DoE1,1,Oleic_Acid,Tween_80,PEG_400,A190,7.5,10.0,30.0,1.5,181.6666667,0.315333333,-4.14,0,0.09074074077777779,0.315333333,0.0,0.0,0.40607407377777777
Misc41,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,0.5,85.78,0.407666667,-2.326666667,0,0.0,0.407666667,0.0,0.0,0.407666667
DoEOPT,2,Oleic_Acid,Tween_80,PEG_400,A190,7.5,20.0,20.0,1.5,190.1666667,0.309666667,-5.356666667,0,0.10018518522222224,0.309666667,0.0,0.0,0.40985185222222226
DoEOPT,3,Oleic_Acid,Tween_80,PEG_400,A190,7.5,20.0,20.0,1.5,183.6666667,0.329333333,-5.79,0,0.09296296300000001,0.329333333,0.0,0.0,0.422296296
DoEOPT,1,Oleic_Acid,Tween_80,PEG_400,A190,7.5,20.0,20.0,1.5,179.8555555,0.336555556,-5.284444445,0,0.08872839500000002,0.336555556,0.0,0.0,0.425283951
A1,2,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,21.6,18.4,1.515,125.2333333,0.402,-2.293333333,0,0.028037036999999997,0.402,0.0,0.0,0.430037037
E4,2,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,22.3,17.7,1.875,116.9,0.422,-2.35,0,0.018777777777777786,0.422,0.0,0.0,0.44077777777777777
Misc41,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,0.5,104.7,0.448333333,-2.296666667,0,0.005222222222222225,0.448333333,0.0,0.0,0.45355555522222224
Misc41,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,0.5,85.11333333,0.467,-2.703333333,0,0.0,0.467,0.0,0.0,0.467
Misc15,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,1.5,119.0,0.447,-2.326666667,0,0.021111111111111112,0.447,0.0,0.0,0.46811111111111114
Misc12,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,0.0,98.91,0.487,-2.263333333,0,0.0,0.487,0.0,0.0,0.487
Misc12,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,0.0,99.66333333,0.492666667,-2.103333333,0,0.0,0.492666667,0.0,0.0,0.492666667
Ran3,2,Capmul_MCM,Tween_80,Propylene_Glycol,blank,10.0,10.0,30.0,2.0,271.5666667,0.307666667,-2.496666667,0,0.19062962966666666,0.307666667,0.0,0.0,0.49829629666666664
B4_F,2,Capryol_90,Tween_20,Ethanol,Feno,8.25,17.0,23.0,1.65,216.5,0.373666667,-3.443333333,0,0.12944444444444445,0.373666667,0.0,0.0,0.5031111114444444
E4,3,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,22.3,17.7,1.875,96.84,0.506,-2.6,0,0.0,0.506,0.0,0.0,0.506
C5,3,Capmul_MCM,Tween_20,Transcutol_HP,blank,7.875,10.5,29.5,2.67,135.7,0.467666667,-3.81,0,0.039666666666666656,0.467666667,0.0,0.0,0.5073333336666667
D4,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.575,20.2,19.8,0.975,61.32,0.509,-2.33,0,0.0,0.509,0.0,0.0,0.509
C2,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.8,21.5,18.5,2.925,76.69666667,0.515666667,-1.356666667,0,0.0,0.515666667,0.0,0.0,0.515666667
C5,1,Capmul_MCM,Tween_20,Transcutol_HP,blank,7.875,10.5,29.5,2.67,128.4,0.485333333,-3.24,0,0.03155555555555556,0.485333333,0.0,0.0,0.5168888885555556
D2,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.2,19.8,0.975,89.22,0.521,-2.27,0,0.0,0.521,0.0,0.0,0.521
DoE1,3,Oleic_Acid,Tween_80,PEG_400,A190,7.5,10.0,30.0,1.5,212.2,0.399,-4.326666667,0,0.12466666666666665,0.399,0.0,0.0,0.5236666666666667
D2,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.2,19.8,0.975,89.59,0.527,-1.99,0,0.0,0.527,0.0,0.0,0.527
Ran7,1,Capryol_90,Tween_20,Propylene_Glycol,blank,11.6666667,13.3,26.7,0.5,185.7666667,0.432333333,-4.17,0,0.09529629633333334,0.432333333,0.0,0.0,0.5276296293333333
C2,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.8,21.5,18.5,2.925,100.9,0.532666667,-1.636666667,0,0.0010000000000000063,0.532666667,0.0,0.0,0.533666667
D4,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.575,20.2,19.8,0.975,63.8,0.545,-2.22,0,0.0,0.545,0.0,0.0,0.545
D4,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.575,20.2,19.8,0.975,76.96,0.549,-2.68,0,0.0,0.549,0.0,0.0,0.549
Misc44,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.0,20.0,3.0,106.3,0.548,-2.576666667,0,0.006999999999999997,0.548,0.0,0.0,0.555
C4,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.875,20.5,19.5,2.775,85.44666667,0.558333333,-2.09,0,0.0,0.558333333,0.0,0.0,0.558333333
C5,2,Capmul_MCM,Tween_20,Transcutol_HP,blank,7.875,10.5,29.5,2.67,142.5333333,0.516,-3.553333333,0,0.04725925922222223,0.516,0.0,0.0,0.5632592592222222
A4,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,21.0,19.0,2.85,70.24666667,0.565,-2.416666667,0,0.0,0.565,0.0,0.0,0.565
B4_F,3,Capryol_90,Tween_20,Ethanol,Feno,8.25,17.0,23.0,1.65,247.6666667,0.410333333,-2.72,0,0.1640740741111111,0.410333333,0.0,0.0,0.5744074071111112
C2,1,Capryol_90,Tween_80,Transcutol_HP,blank,7.8,21.5,18.5,2.925,61.38,0.576666667,-1.74,0,0.0,0.576666667,0.0,0.0,0.576666667
A4,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,21.0,19.0,2.85,66.08,0.579,-2.543333333,0,0.0,0.579,0.0,0.0,0.579
F5_F,1,Capryol_90,Tween_20,PEG_400,Feno,10.0,20.0,20.0,2.0,193.9,0.489,-3.116666667,0,0.10433333333333333,0.489,0.0,0.0,0.5933333333333333
A4,3,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,21.0,19.0,2.85,93.26666667,0.603,-2.28,0,0.0,0.603,0.0,0.0,0.603
E4,1,Capryol_90,Tween_80,Propylene_Glycol,blank,7.875,22.3,17.7,1.875,68.22,0.61,-2.6,0,0.0,0.61,0.0,0.0,0.61
D2,2,Capryol_90,Tween_80,Transcutol_HP,blank,7.5,20.2,19.8,0.975,71.06,0.623,-2.28,0,0.0,0.623,0.0,0.0,0.623
DoE4,3,Oleic_Acid,Tween_80,PEG_400,A190,7.5,30.0,10.0,1.5,252.5333333,0.462333333,-5.546666667,0,0.16948148144444444,0.462333333,0.0,0.0,0.6318148144444444
