Exp,Rep,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
F-C5,R1,Capmul_MCM,Tween_80,Transcutol_HP,Feno,5.35,20.2,10.0,0.1,11.74,0.140666667,-4.296666667,0,95.58,1.55e-05,0.0,0.04518518555555554,0.0,0.034000000000000016,0.22500000000000003,0.8333703711111111,1.0,0.8333703711111111
F-B5,R3,Capmul_MCM,Tween_80,PEG_400,Feno,5.0,40.0,15.5,1.6,11.07666667,0.060666667,-4.083333333,0,93.19,1.57e-05,0.0,-0.008740740666666668,0.0,0.10807692307692317,0.21500000000000014,0.8436723648205134,1.0,0.8436723648205134
A-A1,R2,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,20.0,19.375,1.98,14.58666667,0.351666667,-3.313333333,0,94.49,1.87e-05,0.0,0.27962962999999996,0.0,0.058076923076923276,0.06500000000000004,0.8704131061538465,1.0,0.8704131061538465
E2_F,1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,12.18333333,0.179333333,-3.433333333,0,92.74333333,1.69e-05,0.0,0.08814814777777778,0.0,0.12525641038461544,0.15500000000000003,0.8918091163247865,1.0,0.8918091163247865
A-A5,R1,Maisine_Oil,Tween_20,Transcutol_HP,A190,5.35,24.25,15.625,2.025,13.77333333,0.17,-3.23,0,108.3933333,1.71e-05,0.0,0.07777777777777778,0.0,0.16897435769230748,0.14500000000000013,0.928504270940171,1.0,0.928504270940171
A-A1,R1,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,20.0,19.375,1.98,19.26333333,0.289333333,-3.183333333,0,97.41,1.66e-05,0.0,0.21037037000000003,0.0,0.01992307692307695,0.17000000000000004,0.9705868938461542,1.0,0.9705868938461542
A-C3,R3,Maisine_Oil,Tween_20,Ethanol,A190,5.0,23.95,14.5,2.6,13.05333333,0.165333333,-3.573333333,0,116.2666667,2.35e-05,0.0,0.07259259222222221,0.0,0.47179487307692314,-0.03499999999999997,0.9837749305982909,1.0,0.9837749305982909
F-B3,R1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.68,28.75,14.0,2.5,13.32333333,0.392,-2.773333333,0,102.1766667,1.77e-05,0.0,0.3244444444444445,0.0,0.01674358999999999,0.11500000000000007,1.027376068888889,1.0,1.027376068888889
B4_A,2,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.65,20.52333333,0.37,-3.633333333,0,106.5221803,1.84e-05,0.0,0.3,0.0,0.0970069346153847,0.08000000000000007,1.0340138692307697,1.0,1.0340138692307697
A-A1,R3,Capryol_90,Tween_20,Transcutol_HP,A190,8.325,20.0,19.375,1.98,37.08,0.549,-2.626666667,0,92.45333333,2.74e-05,0.0,0.49888888888888894,0.0,0.13641025653846128,-0.07399999999999997,1.0485982908547005,1.0,1.0485982908547005
F-A2,R1,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,20.0,19.375,2.25,21.58333333,0.701666667,-3.346666667,0,109.1566667,4.23e-05,0.0,0.6685185188888889,0.0,0.19833333461538472,-0.22299999999999995,1.0647037070085474,1.0,1.0647037070085474
A-A2,R2,Capryol_90,Tween_20,Ethanol,A190,8.0625,40.0,8.125,1.98,10.65333333,0.226666667,-2.986666667,0,85.43666667,2.05e-05,0.0,0.1407407411111111,0.0,0.4062820511538464,-0.004999999999999985,1.0790455845299152,1.0,1.0790455845299152
F-B5,R1,Capmul_MCM,Tween_80,PEG_400,Feno,5.0,40.0,15.5,1.6,11.19333333,0.067666667,-4.313333333,0,101.2433333,1.28e-05,0.0,-0.007185185111111113,0.0,0.009564102307692333,0.3600000000000001,1.0847578343931628,1.0,1.0847578343931628
F-B1,R3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.94,27.55,13.88,2.3,13.03666667,0.345333333,-2.733333333,0,101.9366667,1.66e-05,0.0,0.2725925922222222,0.0,0.01489743615384618,0.17000000000000004,1.084980056752137,1.0,1.084980056752137
A-A3,R2,Capryol_90,Tween_20,Propylene_Glycol,A190,8.0625,24.25,15.0,1.995,14.23666667,0.317333333,-3.26,0,113.18,2.16e-05,0.0,0.2414814811111111,0.0,0.3530769230769233,-0.015999999999999983,1.1411168083760688,1.0,1.1411168083760688
F-C5,R2,Capmul_MCM,Tween_80,Transcutol_HP,Feno,5.35,20.2,10.0,0.1,11.91,0.107333333,-4.383333333,0,86.19,1.7e-05,0.0,0.008148147777777774,0.0,0.37730769230769234,0.15000000000000008,1.2209116801709405,1.0,1.2209116801709405
F-C1,R3,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,5.26,20.2,5.12,0.1,13.11,0.232,-2.816666667,0,93.99666667,1.44e-05,0.0,0.14666666666666667,0.0,0.07705128192307707,0.2800000000000001,1.287435897179488,1.0,1.287435897179488
F-B2,R3,Capmul_MCM,Tween_20,PEG_400,Feno,8.06,27.25,5.5,1.7,15.25333333,0.236666667,-4.693333333,0,114.4033333,1.85e-05,0.0,0.15185185222222222,0.0,0.4001282038461539,0.07500000000000012,1.3289601121367525,1.0,1.3289601121367525
E2_F,3,Capryol_90,Tween_20,Transcutol_HP,Feno,8.325,18.5,21.5,2.025,11.81666667,0.259,-3.386666667,0,100.9490996,1.35e-05,0.0,0.17666666666666667,0.0,0.007300766153846129,0.32500000000000007,1.3429348656410258,1.0,1.3429348656410258
A-B3,R1,Capryol_90,Tween_20,Transcutol_HP,A190,5.79,21.25,19.38,2.3,15.8,0.526666667,-3.106666667,0,108.07,1.94e-05,0.0,0.47407407444444444,0.0,0.1565384615384613,0.030000000000000047,1.3512250719658117,1.0,1.3512250719658117
B4_A,1,Capryol_90,Tween_20,Ethanol,A190,8.25,17.0,23.0,1.65,25.79666667,0.297666667,-3.636666667,0,110.7866667,1.74e-05,0.0,0.21962963,0.0,0.2610256423076922,0.1300000000000001,1.3513105446153846,1.0,1.3513105446153846
F-A5,R3,Capryol_90,Tween_20,Propylene_Glycol,Feno,8.0625,20.0,15.0,2.37,11.59333333,0.164666667,-3.476666667,0,98.70666667,1.18e-05,0.0,0.0718518522222222,0.0,0.00994871792307689,0.41000000000000003,1.3936011402905981,1.0,1.3936011402905981
F-C5,R3,Capmul_MCM,Tween_80,Transcutol_HP,Feno,5.35,20.2,10.0,0.1,12.0,0.120666667,-2.896666667,0,89.90333333,1.41e-05,0.0,0.022962963333333333,0.0,0.2344871796153848,0.29500000000000004,1.3999002858974363,1.0,1.3999002858974363
F-A5,R1,Capryol_90,Tween_20,Propylene_Glycol,Feno,8.0625,20.0,15.0,2.37,10.98,0.21,-3.896666667,0,99.29666667,1.2e-05,0.0,0.1222222222222222,0.0,0.005410256384615435,0.4,1.4552649572136755,1.0,1.4552649572136755
A-B5,R2,Maisine_Oil,Tween_20,Transcutol_HP,A190,5.26,23.05,15.88,2.5,15.28666667,0.243666667,-3.22,0,110.81,1.58e-05,0.0,0.15962963,0.0,0.26192307692307704,0.21,1.4731054138461541,1.0,1.4731054138461541
A-A5,R2,Maisine_Oil,Tween_20,Transcutol_HP,A190,5.35,24.25,15.625,2.025,13.34333333,0.084666667,-3.213333333,0,106.3066667,1.12e-05,0.0,-0.0034074073333333343,0.0,0.08871794999999977,0.44000000000000006,1.4906210853333333,1.0,1.4906210853333333
A-C2,R1,Maisine_Oil,Tween_20,Ethanol,A190,5.18,24.25,14.88,2.5,25.01666667,0.732,-3.55,0,106.9966667,2.35e-05,0.0,0.7022222222222222,0.0,0.11525641153846176,-0.03499999999999997,1.529957267521368,1.0,1.529957267521368
F-C1,R2,Capmul_MCM,Tween_20,Propylene_Glycol,Feno,5.26,20.2,5.12,0.1,14.60666667,0.237666667,-2.936666667,0,96.71,1.19e-05,0.0,0.1529629633333333,0.0,0.025307692307692357,0.4050000000000001,1.5715413112820515,1.0,1.5715413112820515
F-A5,R2,Capryol_90,Tween_20,Propylene_Glycol,Feno,8.0625,20.0,15.0,2.37,11.06333333,0.208,-3.106666667,0,102.0666667,1.13e-05,0.0,0.11999999999999998,0.0,0.015897436153846145,0.43500000000000005,1.5767948723076923,1.0,1.5767948723076923
A-B3,R2,Capryol_90,Tween_20,Transcutol_HP,A190,5.79,21.25,19.38,2.3,21.46666667,0.59,-2.143333333,0,110.9533333,2e-05,0.0,0.5444444444444444,0.0,0.26743589615384605,0.0,1.6237606811965808,1.0,1.6237606811965808
F-C3,R1,Capmul_MCM,Tween_80,Propylene_Glycol,Feno,5.18,20.8,5.25,0.1,11.50333333,0.170333333,-5.39,0,92.59666667,1.19e-05,0.0,0.07814814777777777,0.0,0.13089743576923057,0.4050000000000001,1.6330911670940171,1.0,1.6330911670940171
A-B3,R3,Capryol_90,Tween_20,Transcutol_HP,A190,5.79,21.25,19.38,2.3,22.43333333,0.558666667,-3.456666667,0,108.19,1.78e-05,0.0,0.5096296300000001,0.0,0.16115384615384606,0.11000000000000013,1.6715669523076926,1.0,1.6715669523076926
A-A4,R3,Capryol_90,Tween_80,Transcutol_HP,A190,7.1875,20.0,19.375,2.025,100.3466667,0.377333333,-2.406666667,0,102.3933333,1.3e-05,0.00038518522222222236,0.3081481477777777,0.0,0.018410256153846113,0.3500000000000001,1.7042723635299146,1.0,1.7042723635299146
