Exp,n_reps,Oil,Surfactant,Cosurfactant,API_Name,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability,size_score (w=3),pdi_score  (w=2),zeta_score (w=1),dl_score   (w=2),perm_score (w=3),formulation_loss,stability_factor,objective
DoEOPT,3,Oleic_Acid,Tween_80,PEG_400,A190,7.5,20.0,20.0,1.5,184.56296296666667,0.32518518533333335,-5.477037037333333,0.0,104.94800889999999,3.07e-06,0.09395884774074074,0.2502057614814815,0.0,0.03806160692307685,0.8465,3.397911280031339,1.0,3.397911280031339
C3,3,Capryol_90,Labrasol,Ethanol,blank,7.875,20.5,19.5,1.74,10000.0,0.8676296296666667,100.0,1.0,,,11.0,0.8529218107407408,9.0,0.0,0.0,43.705843621481485,0.0,4370.584362148148
C1,3,Soybean_Oil,Tween_20,Ethanol,blank,13.125,10.5,29.5,1.7250000000000003,10000.0,0.8753777776666666,100.0,1.0,,,11.0,0.861530864074074,9.0,0.0,0.0,43.723061728148146,0.0,4372.306172814814
Ran8,3,Capryol_90,Labrasol,Ethanol,blank,8.3333333,16.7,23.3,1.0,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
Ran1,3,Soybean_Oil,Tween_20,PEG_400,blank,6.6666667,30.0,10.0,2.5,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
Ran4,3,Maisine_Oil,Labrasol,Transcutol_HP,blank,10.0,23.3,16.7,2.0,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
Ran2,3,Maisine_Oil,Labrasol,PEG_400,blank,11.6666667,16.7,23.3,3.0,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
E1,3,Maisine_Oil,Tween_80,Propylene_Glycol,blank,7.875,15.0,25.0,2.025,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
A3,3,Maisine_Oil,Tween_80,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
Ran10,3,Soybean_Oil,Tween_20,Transcutol_HP,blank,8.3333333,23.3,16.7,1.5,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
B1,3,Oleic_Acid,Tween_80,Transcutol_HP,blank,8.25,19.0,21.0,2.85,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
B2,3,Oleic_Acid,Tween_80,Transcutol_HP,blank,7.95,23.0,17.0,1.3500000000000003,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
B5,3,Capryol_90,PEG_400,Transcutol_HP,blank,8.25,11.0,29.0,0.45,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
E3,3,Oleic_Acid,Tween_20,Tween_80,blank,20.625,10.0,30.0,2.325,10000.0,1.0,100.0,1.0,,,11.0,1.0,9.0,0.0,0.0,44.0,0.0,4400.0
